ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
158,17Networks_LH_DefaultA_pCunPCC_5,-2,-16,38,LH,DefaultA,pCunPCC,5,red
155,17Networks_LH_DefaultA_pCunPCC_2,-6,-60,30,LH,DefaultA,pCunPCC,2,red
157,17Networks_LH_DefaultA_pCunPCC_4,-4,-34,38,LH,DefaultA,pCunPCC,4,red
156,17Networks_LH_DefaultA_pCunPCC_3,-8,-44,32,LH,DefaultA,pCunPCC,3,red
159,17Networks_LH_DefaultA_pCunPCC_6,-2,-68,42,LH,DefaultA,pCunPCC,6,red
154,17Networks_LH_DefaultA_pCunPCC_1,-4,-54,20,LH,DefaultA,pCunPCC,1,red
362,17Networks_RH_DefaultA_PFCd_2,24,26,50,RH,DefaultA,PFCd,2,red
152,17Networks_LH_DefaultA_PFCd_2,-18,36,48,LH,DefaultA,PFCd,2,red
151,17Networks_LH_DefaultA_PFCd_1,-24,28,44,LH,DefaultA,PFCd,1,red
150,17Networks_LH_DefaultA_IPL_2,-42,-72,44,LH,DefaultA,IPL,2,red
149,17Networks_LH_DefaultA_IPL_1,-48,-64,32,LH,DefaultA,IPL,1,red
358,17Networks_RH_DefaultA_Temp_1,60,-8,-24,RH,DefaultA,Temp,1,red
160,17Networks_LH_DefaultA_pCunPCC_7,-6,-50,42,LH,DefaultA,pCunPCC,7,red
153,17Networks_LH_DefaultA_PFCd_3,-22,20,52,LH,DefaultA,PFCd,3,red
361,17Networks_RH_DefaultA_PFCd_1,26,34,38,RH,DefaultA,PFCd,1,red
161,17Networks_LH_DefaultA_PFCm_1,-4,56,-10,LH,DefaultA,PFCm,1,red
163,17Networks_LH_DefaultA_PFCm_3,-6,60,6,LH,DefaultA,PFCm,3,red
162,17Networks_LH_DefaultA_PFCm_2,-6,36,-8,LH,DefaultA,PFCm,2,red
360,17Networks_RH_DefaultA_IPL_2,48,-64,42,RH,DefaultA,IPL,2,red
373,17Networks_RH_DefaultA_PFCm_6,6,26,18,RH,DefaultA,PFCm,6,red
372,17Networks_RH_DefaultA_PFCm_5,18,64,16,RH,DefaultA,PFCm,5,red
371,17Networks_RH_DefaultA_PFCm_4,8,54,12,RH,DefaultA,PFCm,4,red
370,17Networks_RH_DefaultA_PFCm_3,8,42,4,RH,DefaultA,PFCm,3,red
369,17Networks_RH_DefaultA_PFCm_2,10,66,0,RH,DefaultA,PFCm,2,red
368,17Networks_RH_DefaultA_PFCm_1,6,42,-10,RH,DefaultA,PFCm,1,red
359,17Networks_RH_DefaultA_IPL_1,54,-54,26,RH,DefaultA,IPL,1,red
366,17Networks_RH_DefaultA_pCunPCC_4,4,-20,36,RH,DefaultA,pCunPCC,4,red
365,17Networks_RH_DefaultA_pCunPCC_3,6,-38,34,RH,DefaultA,pCunPCC,3,red
364,17Networks_RH_DefaultA_pCunPCC_2,4,-64,32,RH,DefaultA,pCunPCC,2,red
363,17Networks_RH_DefaultA_pCunPCC_1,6,-52,24,RH,DefaultA,pCunPCC,1,red
166,17Networks_LH_DefaultA_PFCm_6,-6,34,20,LH,DefaultA,PFCm,6,red
165,17Networks_LH_DefaultA_PFCm_5,-16,68,8,LH,DefaultA,PFCm,5,red
164,17Networks_LH_DefaultA_PFCm_4,-6,44,6,LH,DefaultA,PFCm,4,red
367,17Networks_RH_DefaultA_pCunPCC_5,10,-52,36,RH,DefaultA,pCunPCC,5,red
187,17Networks_LH_DefaultB_PFCv_5,-54,20,12,LH,DefaultB,PFCv,5,red
374,17Networks_RH_DefaultB_Temp_1,64,-24,-8,RH,DefaultB,Temp,1,red
375,17Networks_RH_DefaultB_Temp_2,64,-38,0,RH,DefaultB,Temp,2,red
186,17Networks_LH_DefaultB_PFCv_4,-48,28,0,LH,DefaultB,PFCv,4,red
182,17Networks_LH_DefaultB_PFCl_2,-42,8,48,LH,DefaultB,PFCl,2,red
184,17Networks_LH_DefaultB_PFCv_2,-36,36,-12,LH,DefaultB,PFCv,2,red
167,17Networks_LH_DefaultB_Temp_1,-44,12,-34,LH,DefaultB,Temp,1,red
168,17Networks_LH_DefaultB_Temp_2,-54,-2,-30,LH,DefaultB,Temp,2,red
169,17Networks_LH_DefaultB_Temp_3,-62,-18,-20,LH,DefaultB,Temp,3,red
170,17Networks_LH_DefaultB_Temp_4,-56,-8,-14,LH,DefaultB,Temp,4,red
171,17Networks_LH_DefaultB_Temp_5,-60,-34,-4,LH,DefaultB,Temp,5,red
172,17Networks_LH_DefaultB_Temp_6,-52,-22,-6,LH,DefaultB,Temp,6,red
185,17Networks_LH_DefaultB_PFCv_3,-46,32,-10,LH,DefaultB,PFCv,3,red
174,17Networks_LH_DefaultB_IPL_2,-56,-54,30,LH,DefaultB,IPL,2,red
176,17Networks_LH_DefaultB_PFCd_2,-14,58,30,LH,DefaultB,PFCd,2,red
177,17Networks_LH_DefaultB_PFCd_3,-22,50,32,LH,DefaultB,PFCd,3,red
178,17Networks_LH_DefaultB_PFCd_4,-8,42,52,LH,DefaultB,PFCd,4,red
180,17Networks_LH_DefaultB_PFCd_6,-6,10,64,LH,DefaultB,PFCd,6,red
181,17Networks_LH_DefaultB_PFCl_1,-40,20,48,LH,DefaultB,PFCl,1,red
183,17Networks_LH_DefaultB_PFCv_1,-36,22,-16,LH,DefaultB,PFCv,1,red
175,17Networks_LH_DefaultB_PFCd_1,-4,52,28,LH,DefaultB,PFCd,1,red
179,17Networks_LH_DefaultB_PFCd_5,-12,24,60,LH,DefaultB,PFCd,5,red
173,17Networks_LH_DefaultB_IPL_1,-46,-58,20,LH,DefaultB,IPL,1,red
382,17Networks_RH_DefaultB_PFCv_1,34,22,-18,RH,DefaultB,PFCv,1,red
380,17Networks_RH_DefaultB_PFCd_4,14,38,52,RH,DefaultB,PFCd,4,red
379,17Networks_RH_DefaultB_PFCd_3,4,44,40,RH,DefaultB,PFCd,3,red
376,17Networks_RH_DefaultB_AntTemp_1,50,8,-32,RH,DefaultB,AntTemp,1,red
377,17Networks_RH_DefaultB_PFCd_1,6,58,30,RH,DefaultB,PFCd,1,red
378,17Networks_RH_DefaultB_PFCd_2,16,52,36,RH,DefaultB,PFCd,2,red
384,17Networks_RH_DefaultB_PFCv_3,54,24,6,RH,DefaultB,PFCv,3,red
383,17Networks_RH_DefaultB_PFCv_2,48,32,-8,RH,DefaultB,PFCv,2,red
381,17Networks_RH_DefaultB_PFCd_5,12,20,62,RH,DefaultB,PFCd,5,red
191,17Networks_LH_DefaultC_Rsp_3,-14,-60,18,LH,DefaultC,Rsp,3,red
189,17Networks_LH_DefaultC_Rsp_1,-14,-48,4,LH,DefaultC,Rsp,1,red
193,17Networks_LH_DefaultC_PHC_2,-30,-32,-18,LH,DefaultC,PHC,2,red
385,17Networks_RH_DefaultC_IPL_1,48,-64,22,RH,DefaultC,IPL,1,red
386,17Networks_RH_DefaultC_IPL_2,46,-76,30,RH,DefaultC,IPL,2,red
387,17Networks_RH_DefaultC_Rsp_1,14,-46,4,RH,DefaultC,Rsp,1,red
388,17Networks_RH_DefaultC_Rsp_2,12,-56,16,RH,DefaultC,Rsp,2,red
389,17Networks_RH_DefaultC_PHC_1,22,-18,-28,RH,DefaultC,PHC,1,red
